Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,height,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15,Level16,Level17,Level18,Level19,Level20,Level21,Level22,Level23,Level24,Level25,Level26,Level27,Level28,Level29,Level30,Level31,Level32,Level33,Level34,Level35,Level36,Level37,Level38,Level39,Level40,Level41,Level42,Level43,Level44,Level45,Level46,Level47,Level48,Level49,Level50,Level51,Level52,Level53,Level54,Level55,Level56,Level57,Level58,Level59,Level60,Level61,Level62,Level63,Level64,Level65,Level66,Level68,Level70,Level71,Level72,Level73,Level74,Level75,Level76,Level77,Level78,Level79,Level80,Level81,Level82,Level83,Level84,Level85,Level86,Level87,Level88,Level89,Level90,Level91,Level92,Level93,Level94,Level95,Level96,Level97,Level98,Level99,Level100,Level69,Level67,152,157,163,168,173,178,183,188,193
1,1640816532314,29/12/2021 22:22:12,1640816531610,0,29/12/2021 22:22:11,53563,21,task-hfl1,,18241183,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Contrast Sensitivity With Height,13,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,183,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1640816536372,29/12/2021 22:22:16,1640816535698,0,29/12/2021 22:22:15,53563,21,task-hfl1,,18241183,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Contrast Sensitivity With Height,13,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,183,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,4019.0999999999767,,,,,0,1,0,,,,,,full-screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1640816544557,29/12/2021 22:22:24,1640816543895,0,29/12/2021 22:22:23,53563,21,task-hfl1,,18241183,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Contrast Sensitivity With Height,13,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,183,Spreadsheet1,2,1,1,Screen 1,Zone1,screen_calibration,8176.5,,,Pixels per CM: 34.93722147004948,,0,1,0,,,,,,calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1640816545070,29/12/2021 22:22:25,1640816543903,0,29/12/2021 22:22:23,53563,21,task-hfl1,,18241183,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Contrast Sensitivity With Height,13,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,183,Spreadsheet1,2,1,1,Screen 1,Zone1,screen_calibration,8213.627,,,Calibration Complete,,0,1,0,,,1,,,calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1640816548985,29/12/2021 22:22:28,1640816548325,0,29/12/2021 22:22:28,53563,21,task-hfl1,,18241183,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Contrast Sensitivity With Height,13,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,183,Spreadsheet1,3,1,1,Screen 2,advancementZone,continue_button,4021,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1640816556324,29/12/2021 22:22:36,1640816555668,0,29/12/2021 22:22:35,53563,21,task-hfl1,,18241183,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Contrast Sensitivity With Height,13,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,183,Spreadsheet1,3,1,2,Screen 1,advancementZone,continue_button,7326.5,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1640816560527,29/12/2021 22:22:40,1640816559859,0,29/12/2021 22:22:39,53563,21,task-hfl1,,18241183,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Contrast Sensitivity With Height,13,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,183,Spreadsheet1,3,1,3,Screen 3,advancementZone,continue_button,4175.299999999988,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1640816561000,29/12/2021 22:22:41,1640816560356,0,29/12/2021 22:22:40,53563,21,task-hfl1,,18241183,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Contrast Sensitivity With Height,13,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,183,Spreadsheet1,4,1,1,Screen 1,fixation,fixation,499.83000000000175,,,,,0,1,0,,,,,,cross,,,,100,99,98,97,96,95,94,93,92,91,90,89,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,33,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,32,34,,,,,,,,,
9,1640816561544,29/12/2021 22:22:41,1640816560895,0,29/12/2021 22:22:40,53563,21,task-hfl1,,18241183,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Contrast Sensitivity With Height,13,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,183,Spreadsheet1,25,1,1,start,script,force_advance,433.2089999999989,,,,,0,1,0,,,,,1,task,Z,,,Z_upper_100.png,Z_upper_99.png,Z_upper_98.png,Z_upper_97.png,Z_upper_96.png,Z_upper_95.png,Z_upper_94.png,Z_upper_93.png,Z_upper_92.png,Z_upper_91.png,Z_upper_90.png,Z_upper_89.png,Z_upper_88.png,Z_upper_87.png,Z_upper_86.png,Z_upper_85.png,Z_upper_84.png,Z_upper_83.png,Z_upper_82.png,Z_upper_81.png,Z_upper_80.png,Z_upper_79.png,Z_upper_78.png,Z_upper_77.png,Z_upper_76.png,Z_upper_75.png,Z_upper_74.png,Z_upper_73.png,Z_upper_72.png,Z_upper_71.png,Z_upper_70.png,Z_upper_69.png,Z_upper_68.png,Z_upper_67.png,Z_upper_66.png,Z_upper_65.png,Z_upper_64.png,Z_upper_63.png,Z_upper_62.png,Z_upper_61.png,Z_upper_60.png,Z_upper_59.png,Z_upper_58.png,Z_upper_57.png,Z_upper_56.png,Z_upper_55.png,Z_upper_54.png,Z_upper_53.png,Z_upper_52.png,Z_upper_51.png,Z_upper_50.png,Z_upper_49.png,Z_upper_48.png,Z_upper_47.png,Z_upper_46.png,Z_upper_45.png,Z_upper_44.png,Z_upper_43.png,Z_upper_42.png,Z_upper_41.png,Z_upper_40.png,Z_upper_39.png,Z_upper_38.png,Z_upper_37.png,Z_upper_36.png,Z_upper_35.png,Z_upper_33.png,Z_upper_31.png,Z_upper_30.png,Z_upper_29.png,Z_upper_28.png,Z_upper_27.png,Z_upper_26.png,Z_upper_25.png,Z_upper_24.png,Z_upper_23.png,Z_upper_22.png,Z_upper_21.png,Z_upper_20.png,Z_upper_19.png,Z_upper_18.png,Z_upper_17.png,Z_upper_16.png,Z_upper_15.png,Z_upper_14.png,Z_upper_13.png,Z_upper_12.png,Z_upper_11.png,Z_upper_10.png,Z_upper_9.png,Z_upper_8.png,Z_upper_7.png,Z_upper_6.png,Z_upper_5.png,Z_upper_4.png,Z_upper_3.png,Z_upper_2.png,Z_upper_1.png,Z_upper_32.png,Z_upper_34.png,0.522032415,0.539204533,0.559811076,0.576983195,0.594155314,0.611327433,0.628499552,0.645671671,0.66284379
10,1640816565219,29/12/2021 22:22:45,1640816564549,0,29/12/2021 22:22:44,53563,21,task-hfl1,,18241183,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Contrast Sensitivity With Height,13,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,183,Spreadsheet1,25,1,77,Level76,Zone2,response_text_entry,3592.5,,Enter Key,z,1,1,0,0,,,,,1,task,Z,,,Z_upper_100.png,Z_upper_99.png,Z_upper_98.png,Z_upper_97.png,Z_upper_96.png,Z_upper_95.png,Z_upper_94.png,Z_upper_93.png,Z_upper_92.png,Z_upper_91.png,Z_upper_90.png,Z_upper_89.png,Z_upper_88.png,Z_upper_87.png,Z_upper_86.png,Z_upper_85.png,Z_upper_84.png,Z_upper_83.png,Z_upper_82.png,Z_upper_81.png,Z_upper_80.png,Z_upper_79.png,Z_upper_78.png,Z_upper_77.png,Z_upper_76.png,Z_upper_75.png,Z_upper_74.png,Z_upper_73.png,Z_upper_72.png,Z_upper_71.png,Z_upper_70.png,Z_upper_69.png,Z_upper_68.png,Z_upper_67.png,Z_upper_66.png,Z_upper_65.png,Z_upper_64.png,Z_upper_63.png,Z_upper_62.png,Z_upper_61.png,Z_upper_60.png,Z_upper_59.png,Z_upper_58.png,Z_upper_57.png,Z_upper_56.png,Z_upper_55.png,Z_upper_54.png,Z_upper_53.png,Z_upper_52.png,Z_upper_51.png,Z_upper_50.png,Z_upper_49.png,Z_upper_48.png,Z_upper_47.png,Z_upper_46.png,Z_upper_45.png,Z_upper_44.png,Z_upper_43.png,Z_upper_42.png,Z_upper_41.png,Z_upper_40.png,Z_upper_39.png,Z_upper_38.png,Z_upper_37.png,Z_upper_36.png,Z_upper_35.png,Z_upper_33.png,Z_upper_31.png,Z_upper_30.png,Z_upper_29.png,Z_upper_28.png,Z_upper_27.png,Z_upper_26.png,Z_upper_25.png,Z_upper_24.png,Z_upper_23.png,Z_upper_22.png,Z_upper_21.png,Z_upper_20.png,Z_upper_19.png,Z_upper_18.png,Z_upper_17.png,Z_upper_16.png,Z_upper_15.png,Z_upper_14.png,Z_upper_13.png,Z_upper_12.png,Z_upper_11.png,Z_upper_10.png,Z_upper_9.png,Z_upper_8.png,Z_upper_7.png,Z_upper_6.png,Z_upper_5.png,Z_upper_4.png,Z_upper_3.png,Z_upper_2.png,Z_upper_1.png,Z_upper_32.png,Z_upper_34.png,0.522032415,0.539204533,0.559811076,0.576983195,0.594155314,0.611327433,0.628499552,0.645671671,0.66284379
