Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,structure,displayR,xR,yR,xL,yL,size,displayL
1,1638880335553,07/12/2021 12:32:15,1638880333245,0,07/12/2021 12:32:13,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,
2,1638880349554,07/12/2021 12:32:29,1638880346852,0,07/12/2021 12:32:26,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,1,1,1,Screen 1,advancementZone,continue_button,13532.59999999404,,,,,0,1,0,,,,,,introduction,,introduction,,,,,,,introduction
3,1638880351186,07/12/2021 12:32:31,1638880348918,0,07/12/2021 12:32:28,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,7,1,1,noTarget,Zone1,response_button_image,2054.4000000059605,,,orangeSquare.png,1,0,1,0,,,,,1,pos1Size2R,,pos1Size2,,40,40,60,40,10,pos1Size2L
4,1638880352077,07/12/2021 12:32:32,1638880349789,0,07/12/2021 12:32:29,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,7,1,2,target,Zone2,response_button_image,865,,,redSquare.png,1,0,1,0,,,,,1,pos1Size2R,,pos1Size2,,40,40,60,40,10,pos1Size2L
5,1638880353173,07/12/2021 12:32:33,1638880350914,0,07/12/2021 12:32:30,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,4,1,1,noTarget,Zone1,response_button_image,1115.4000000059605,,,orangeSquare.png,1,0,1,0,,,,,1,pos3Size1R,,pos3Size1,,41,71,59,71,20,pos3Size1L
6,1638880354112,07/12/2021 12:32:34,1638880351846,0,07/12/2021 12:32:31,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,4,1,2,target,Zone2,response_button_image,927.8999999761581,,,redSquare.png,1,0,1,0,,,,,1,pos3Size1R,,pos3Size1,,41,71,59,71,20,pos3Size1L
7,1638880355268,07/12/2021 12:32:35,1638880352981,0,07/12/2021 12:32:32,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,9,1,1,noTarget,Zone1,response_button_image,1125.2999999821186,,,orangeSquare.png,1,0,1,0,,,,,1,pos3Size2R,,pos3Size2,,41,71,59,71,10,pos3Size2L
8,1638880356121,07/12/2021 12:32:36,1638880353855,0,07/12/2021 12:32:33,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,9,1,2,target,Zone2,response_button_image,869.6999999880791,,,redSquare.png,1,0,1,0,,,,,1,pos3Size2R,,pos3Size2,,41,71,59,71,10,pos3Size2L
9,1638880357091,07/12/2021 12:32:37,1638880354834,0,07/12/2021 12:32:34,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,12,1,1,noTarget,Zone1,response_button_image,970.9000000059605,,,orangeSquare.png,1,0,1,0,,,,,1,pos1Size3R,,pos1Size3,,40,40,60,40,5,pos1Size3L
10,1638880357808,07/12/2021 12:32:37,1638880355540,0,07/12/2021 12:32:35,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,12,1,2,target,Zone2,response_button_image,700.5999999940395,,,redSquare.png,1,0,1,0,,,,,1,pos1Size3R,,pos1Size3,,40,40,60,40,5,pos1Size3L
11,1638880358589,07/12/2021 12:32:38,1638880356323,0,07/12/2021 12:32:36,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,10,1,1,noTarget,Zone1,response_button_image,773.7000000178814,,,orangeSquare.png,1,0,1,0,,,,,1,pos4Size2R,,pos4Size2,,74,74,26,74,10,pos4Size2L
12,1638880360006,07/12/2021 12:32:40,1638880357744,0,07/12/2021 12:32:37,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,10,1,2,target,Zone2,response_button_image,1416.800000011921,,,redSquare.png,1,0,1,0,,,,,1,pos4Size2R,,pos4Size2,,74,74,26,74,10,pos4Size2L
13,1638880361038,07/12/2021 12:32:41,1638880358772,0,07/12/2021 12:32:38,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,16,1,1,noTarget,Zone1,response_button_image,1018.7000000178814,,,orangeSquare.png,1,0,1,0,,,,,1,pos5Size3R,,pos5Size3,,8,46,92,46,5,pos5Size3L
14,1638880361989,07/12/2021 12:32:41,1638880359722,0,07/12/2021 12:32:39,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,16,1,2,target,Zone2,response_button_image,945.5,,,redSquare.png,1,0,1,0,,,,,1,pos5Size3R,,pos5Size3,,8,46,92,46,5,pos5Size3L
15,1638880363324,07/12/2021 12:32:43,1638880360543,0,07/12/2021 12:32:40,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,8,1,1,noTarget,Zone1,response_button_image,812.6999999880791,,,orangeSquare.png,1,0,1,0,,,,,1,pos2Size2R,,pos2Size2,,20,25,80,25,10,pos2Size2L
16,1638880363604,07/12/2021 12:32:43,1638880361339,0,07/12/2021 12:32:41,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,8,1,2,target,Zone2,response_button_image,792.4000000059605,,,redSquare.png,1,0,1,0,,,,,1,pos2Size2R,,pos2Size2,,20,25,80,25,10,pos2Size2L
17,1638880364518,07/12/2021 12:32:44,1638880362248,0,07/12/2021 12:32:42,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,3,1,1,noTarget,Zone1,response_button_image,901.4000000059605,,,orangeSquare.png,1,0,1,0,,,,,1,pos2Size1R,,pos2Size1,,20,25,80,25,20,pos2Size1L
18,1638880365720,07/12/2021 12:32:45,1638880362827,0,07/12/2021 12:32:42,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,3,1,2,target,Zone2,response_button_image,574.5999999940395,,,redSquare.png,1,0,1,0,,,,,1,pos2Size1R,,pos2Size1,,20,25,80,25,20,pos2Size1L
19,1638880366237,07/12/2021 12:32:46,1638880363543,0,07/12/2021 12:32:43,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,13,1,1,noTarget,Zone1,response_button_image,707.5,,,orangeSquare.png,1,0,1,0,,,,,1,pos2Size3R,,pos2Size3,,20,25,80,25,5,pos2Size3L
20,1638880366550,07/12/2021 12:32:46,1638880364238,0,07/12/2021 12:32:44,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,13,1,2,target,Zone2,response_button_image,692.6999999880791,,,redSquare.png,1,0,1,0,,,,,1,pos2Size3R,,pos2Size3,,20,25,80,25,5,pos2Size3L
21,1638880367195,07/12/2021 12:32:47,1638880364924,0,07/12/2021 12:32:44,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,11,1,1,noTarget,Zone1,response_button_image,679,,,orangeSquare.png,1,0,1,0,,,,,1,pos5Size2R,,pos5Size2,,8,46,92,46,10,pos5Size2L
22,1638880368043,07/12/2021 12:32:48,1638880365784,0,07/12/2021 12:32:45,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,11,1,2,target,Zone2,response_button_image,855.5,,,redSquare.png,1,0,1,0,,,,,1,pos5Size2R,,pos5Size2,,8,46,92,46,10,pos5Size2L
23,1638880368684,07/12/2021 12:32:48,1638880366423,0,07/12/2021 12:32:46,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,14,1,1,noTarget,Zone1,response_button_image,633.1999999880791,,,orangeSquare.png,1,0,1,0,,,,,1,pos3Size3R,,pos3Size3,,41,71,59,71,5,pos3Size3L
24,1638880369887,07/12/2021 12:32:49,1638880367627,0,07/12/2021 12:32:47,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,14,1,2,target,Zone2,response_button_image,1199.6000000238419,,,redSquare.png,1,0,1,0,,,,,1,pos3Size3R,,pos3Size3,,41,71,59,71,5,pos3Size3L
25,1638880370969,07/12/2021 12:32:50,1638880368713,0,07/12/2021 12:32:48,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,6,1,1,noTarget,Zone1,response_button_image,1079.2000000178814,,,orangeSquare.png,1,0,1,0,,,,,1,pos5Size1R,,pos5Size1,,8,46,92,46,20,pos5Size1L
26,1638880371900,07/12/2021 12:32:51,1638880369635,0,07/12/2021 12:32:49,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,6,1,2,target,Zone2,response_button_image,918,,,redSquare.png,1,0,1,0,,,,,1,pos5Size1R,,pos5Size1,,8,46,92,46,20,pos5Size1L
27,1638880373292,07/12/2021 12:32:53,1638880370409,0,07/12/2021 12:32:50,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,2,1,1,noTarget,Zone1,response_button_image,766.5999999940395,,,orangeSquare.png,1,0,1,0,,,,,1,pos1Size1R,,pos1Size1,,40,40,60,40,20,pos1Size1L
28,1638880373527,07/12/2021 12:32:53,1638880371252,0,07/12/2021 12:32:51,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,2,1,2,target,Zone2,response_button_image,839.8000000119209,,,redSquare.png,1,0,1,0,,,,,1,pos1Size1R,,pos1Size1,,40,40,60,40,20,pos1Size1L
29,1638880374303,07/12/2021 12:32:54,1638880372044,0,07/12/2021 12:32:52,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,15,1,1,noTarget,Zone1,response_button_image,785.9000000059605,,,orangeSquare.png,1,0,1,0,,,,,1,pos4Size3R,,pos4Size3,,74,74,26,74,5,pos4Size3L
30,1638880375912,07/12/2021 12:32:55,1638880373643,0,07/12/2021 12:32:53,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,15,1,2,target,Zone2,response_button_image,1594.7999999821186,,,redSquare.png,1,0,1,0,,,,,1,pos4Size3R,,pos4Size3,,74,74,26,74,5,pos4Size3L
31,1638880376972,07/12/2021 12:32:56,1638880374700,0,07/12/2021 12:32:54,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,5,1,1,noTarget,Zone1,response_button_image,1049.1000000238419,,,orangeSquare.png,1,0,1,0,,,,,1,pos4Size1R,,pos4Size1,,74,74,26,74,20,pos4Size1L
32,1638880377834,07/12/2021 12:32:57,1638880375564,0,07/12/2021 12:32:55,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,5,1,2,target,Zone2,response_button_image,860.1000000238419,,,redSquare.png,1,0,1,0,,,,,1,pos4Size1R,,pos4Size1,,74,74,26,74,20,pos4Size1L
33,1638880378928,07/12/2021 12:32:58,1638880376669,0,07/12/2021 12:32:56,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,19,2,1,noTarget,Zone1,response_button_image,1096.9000000059605,,,orangeSquare.png,1,0,1,0,,,,,2,pos3Size1R,,pos3Size1,,41,71,59,71,20,pos3Size1L
34,1638880379714,07/12/2021 12:32:59,1638880377444,0,07/12/2021 12:32:57,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,19,2,2,target,Zone2,response_button_image,772.0999999940395,,,redSquare.png,1,0,1,0,,,,,2,pos3Size1R,,pos3Size1,,41,71,59,71,20,pos3Size1L
35,1638880380543,07/12/2021 12:33:00,1638880378288,0,07/12/2021 12:32:58,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,31,2,1,noTarget,Zone1,response_button_image,835.5999999940395,,,orangeSquare.png,1,0,1,0,,,,,2,pos5Size3R,,pos5Size3,,8,46,92,46,5,pos5Size3L
36,1638880381735,07/12/2021 12:33:01,1638880379469,0,07/12/2021 12:32:59,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,31,2,2,target,Zone2,response_button_image,1178.2999999821186,,,redSquare.png,1,0,1,0,,,,,2,pos5Size3R,,pos5Size3,,8,46,92,46,5,pos5Size3L
37,1638880382719,07/12/2021 12:33:02,1638880380150,0,07/12/2021 12:33:00,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,26,2,1,noTarget,Zone1,response_button_image,673.0999999940395,,,orangeSquare.png,1,0,1,0,,,,,2,pos5Size2R,,pos5Size2,,8,46,92,46,10,pos5Size2L
38,1638880383079,07/12/2021 12:33:03,1638880380806,0,07/12/2021 12:33:00,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,26,2,2,target,Zone2,response_button_image,652.8000000119209,,,redSquare.png,1,0,1,0,,,,,2,pos5Size2R,,pos5Size2,,8,46,92,46,10,pos5Size2L
39,1638880383751,07/12/2021 12:33:03,1638880381491,0,07/12/2021 12:33:01,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,18,2,1,noTarget,Zone1,response_button_image,677.5999999940395,,,orangeSquare.png,1,0,1,0,,,,,2,pos2Size1R,,pos2Size1,,20,25,80,25,20,pos2Size1L
40,1638880384407,07/12/2021 12:33:04,1638880382148,0,07/12/2021 12:33:02,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,18,2,2,target,Zone2,response_button_image,652.5,,,redSquare.png,1,0,1,0,,,,,2,pos2Size1R,,pos2Size1,,20,25,80,25,20,pos2Size1L
41,1638880385063,07/12/2021 12:33:05,1638880382796,0,07/12/2021 12:33:02,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,30,2,1,noTarget,Zone1,response_button_image,640.0999999940395,,,orangeSquare.png,1,0,1,0,,,,,2,pos4Size3R,,pos4Size3,,74,74,26,74,5,pos4Size3L
42,1638880386189,07/12/2021 12:33:06,1638880383931,0,07/12/2021 12:33:03,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,30,2,2,target,Zone2,response_button_image,1131.699999988079,,,redSquare.png,1,0,1,0,,,,,2,pos4Size3R,,pos4Size3,,74,74,26,74,5,pos4Size3L
43,1638880387125,07/12/2021 12:33:07,1638880384853,0,07/12/2021 12:33:04,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,22,2,1,noTarget,Zone1,response_button_image,913.5999999940395,,,orangeSquare.png,1,0,1,0,,,,,2,pos1Size2R,,pos1Size2,,40,40,60,40,10,pos1Size2L
44,1638880387963,07/12/2021 12:33:07,1638880385705,0,07/12/2021 12:33:05,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,22,2,2,target,Zone2,response_button_image,848.1000000238419,,,redSquare.png,1,0,1,0,,,,,2,pos1Size2R,,pos1Size2,,40,40,60,40,10,pos1Size2L
45,1638880388784,07/12/2021 12:33:08,1638880386519,0,07/12/2021 12:33:06,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,28,2,1,noTarget,Zone1,response_button_image,805.9000000059605,,,orangeSquare.png,1,0,1,0,,,,,2,pos2Size3R,,pos2Size3,,20,25,80,25,5,pos2Size3L
46,1638880389479,07/12/2021 12:33:09,1638880387215,0,07/12/2021 12:33:07,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,28,2,2,target,Zone2,response_button_image,692.1999999880791,,,redSquare.png,1,0,1,0,,,,,2,pos2Size3R,,pos2Size3,,20,25,80,25,5,pos2Size3L
47,1638880390303,07/12/2021 12:33:10,1638880388047,0,07/12/2021 12:33:08,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,23,2,1,noTarget,Zone1,response_button_image,823.2999999821186,,,orangeSquare.png,1,0,1,0,,,,,2,pos2Size2R,,pos2Size2,,20,25,80,25,10,pos2Size2L
48,1638880390843,07/12/2021 12:33:10,1638880388577,0,07/12/2021 12:33:08,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,23,2,2,target,Zone2,response_button_image,525.1999999880791,,,redSquare.png,1,0,1,0,,,,,2,pos2Size2R,,pos2Size2,,20,25,80,25,10,pos2Size2L
49,1638880391463,07/12/2021 12:33:11,1638880389203,0,07/12/2021 12:33:09,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,17,2,1,noTarget,Zone1,response_button_image,618.0999999940395,,,orangeSquare.png,1,0,1,0,,,,,2,pos1Size1R,,pos1Size1,,40,40,60,40,20,pos1Size1L
50,1638880392171,07/12/2021 12:33:12,1638880389900,0,07/12/2021 12:33:09,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,17,2,2,target,Zone2,response_button_image,693.0999999940395,,,redSquare.png,1,0,1,0,,,,,2,pos1Size1R,,pos1Size1,,40,40,60,40,20,pos1Size1L
51,1638880393011,07/12/2021 12:33:13,1638880390644,0,07/12/2021 12:33:10,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,25,2,1,noTarget,Zone1,response_button_image,736.8000000119209,,,orangeSquare.png,1,0,1,0,,,,,2,pos4Size2R,,pos4Size2,,74,74,26,74,10,pos4Size2L
52,1638880393981,07/12/2021 12:33:13,1638880391712,0,07/12/2021 12:33:11,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,25,2,2,target,Zone2,response_button_image,1064.2000000178814,,,redSquare.png,1,0,1,0,,,,,2,pos4Size2R,,pos4Size2,,74,74,26,74,10,pos4Size2L
53,1638880395140,07/12/2021 12:33:15,1638880392856,0,07/12/2021 12:33:12,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,20,2,1,noTarget,Zone1,response_button_image,1136.2999999821186,,,orangeSquare.png,1,0,1,0,,,,,2,pos4Size1R,,pos4Size1,,74,74,26,74,20,pos4Size1L
54,1638880395986,07/12/2021 12:33:15,1638880393712,0,07/12/2021 12:33:13,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,20,2,2,target,Zone2,response_button_image,851.3000000119209,,,redSquare.png,1,0,1,0,,,,,2,pos4Size1R,,pos4Size1,,74,74,26,74,20,pos4Size1L
55,1638880397050,07/12/2021 12:33:17,1638880394769,0,07/12/2021 12:33:14,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,29,2,1,noTarget,Zone1,response_button_image,1049.199999988079,,,orangeSquare.png,1,0,1,0,,,,,2,pos3Size3R,,pos3Size3,,41,71,59,71,5,pos3Size3L
56,1638880398046,07/12/2021 12:33:18,1638880395778,0,07/12/2021 12:33:15,53563,21,task-hg5t,,17813247,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Fitts's Law,8,oneFirst,,,,,163,Right,163,Right,right,right,29,2,2,target,Zone2,response_button_image,1005.7000000178814,,,redSquare.png,1,0,1,0,,,,,2,pos3Size3R,,pos3Size3,,41,71,59,71,5,pos3Size3L
